1   1     1    1   1   1
5   1.59  1.68 50  12  11
10  3.08  3.28 100 24  22
25  6.04  6.13
40  9.78  7.71
45  11.18 9.53
50  12.82 10.40
75  17.61 16.24
100 25.06 23.88
